week,estimate,se,pval,ci_lo,ci_hi
-8,-0.0871969627841975,0.0966309390944065,0.367072200740737,-0.276593603409234,0.102199677840839
-7,-0.0502057092481172,0.151674408422505,0.740704902104163,-0.347487549756227,0.247076131259993
-6,0.0111364018160941,0.240486679105849,0.963073984363003,-0.460217489231369,0.482490292863558
-5,-0.124413286876288,0.102196139087733,0.223733896316836,-0.324717719488244,0.0758911457356675
-4,-0.464904477138619,0.395429259010267,0.239990039663887,-1.23994582479874,0.310136870521505
-3,-0.0110710294294308,0.127401166885429,0.930768828566988,-0.260777316524871,0.238635257666009
-2,0.00155050099404106,0.0676659557615655,0.981723302787649,-0.131074772298627,0.134175774286709
-1,0,0,1,0,0
0,0.0632364420428308,0.0788546990006392,0.422776071920899,-0.0913187679984219,0.217791652084084
1,0.0193519278491203,0.0876184224234914,0.825240867948867,-0.152380180100923,0.191084035799163
2,0.0133311712784217,0.0825479061519188,0.871734510259337,-0.148462724779339,0.175125067336183
3,0.446394785237774,0.387227547081079,0.24926297727022,-0.312571207041142,1.20536077751669
4,0.489478223737121,0.360994149091613,0.175424693908593,-0.21807030848244,1.19702675595668
5,1.01649088571001,0.852128518407679,0.233191211560689,-0.653681010369041,2.68666278178906
