store_id,store_name,franchise_name,si_do,si_gun_gu,eup_myeon_dong,category,monitoring_partner_id,lat,lng,enterprise_registration_number
73891,bhc치킨 나주혁신2호점,BHC치킨(비에이치씨),전라남도,나주시,빛가람동,치킨,996,35.01414094,126.77306517,4042700795
73892,The하이난,"",전라남도,나주시,빛가람동,중식,996,35.01800086,126.79327733,8861100069
73893,롯데리아 방배역점,롯데리아(롯데지알에스),서울특별시,서초구,방배동,버거,1094,37.48299995,126.99689878,6375000277
73893,롯데리아 방배역점,롯데리아(롯데지알에스),서울특별시,서초구,방배동,버거,1094,37.48299995,126.99689878,6375000277
73894,강남수산식당 영등점,"",전라북도,익산시,영등동,한식,1028,35.95460621,126.97717269,2480501509
73895,명랑핫도그 새롬동,명랑핫도그(명랑시대외식청년창업협동조합),세종특별자치시,"",새롬동,카페/베이커리/디저트,1937,36.48547397,127.25064960,4621301304
73896,두찜석남점,"",인천광역시,서구,석남동,한식,971,37.51095926,126.67068221,1502000924
73897,두찜 반지점,"",경상남도,창원시 성산구,반지동,한식,731,35.23917424,128.66170578,3101015336
73898,둔촌★공릉동닭한마리 성내동,"",서울특별시,강동구,성내동,한식,37,37.52870721,127.12399792,7101101247
73899,귀남푸드 범어리,"",경상남도,양산시,물금읍 범어리,한식,1062,35.33074074,129.00655348,7652800945
73900,파리바게뜨 대구감삼점(내당4동)❤️,파리바게뜨(SPC),대구광역시,서구,내당동,카페/베이커리/디저트,465,35.85474008,128.54849577,2148554039
73901,신주쿠카레(역북),"",경기도,용인시 처인구,남동,한식,1005,37.2249719,127.1867658,5470101432
73902,남양가음굽네치킨 가음동,"",경상남도,창원시 성산구,가음동,치킨,839,35.21015544,128.69719015,5421200564
73903,덕천동 심봉사도로케,"",부산광역시,북구,구포동,카페/베이커리/디저트,791,35.20908968,129.00552897,1632001104
73904,파스쿠찌 대구용산점,파스쿠찌(SPC),대구광역시,달서구,용산동,카페/베이커리/디저트,462,35.85827880,128.53038284,5708501897
73905,이디야커피 목포옥암점,이디야커피(이디야커피),전라남도,목포시,옥암동,카페/베이커리/디저트,2160,34.80797847,126.43778307,5652800461
73906,착한김밥,"",경기도,광명시,광명동,분식,717,37.47756821,126.85721144,6661500987
73907,한류김치찜 봉곡점,"",경상북도,구미시,봉곡동,한식,845,36.15195919,128.31823224,2661700200
